,Unnamed: 0,0,1,2,3,4,5,6,7,9,10,11,12,label
0,0.0,0.00632,18.0,2.31,0.0,0.538,6.575,65.2,4.09,296.0,15.3,396.9,4.98,24.0
1,1.0,0.02731,0.0,7.07,0.0,0.469,6.421,78.9,4.9671,242.0,17.8,396.9,9.14,21.6
2,2.0,0.02729,0.0,7.07,0.0,0.469,7.185,61.1,4.9671,242.0,17.8,392.83,4.03,34.7
3,3.0,0.03237,0.0,2.18,0.0,0.458,6.998,45.8,6.0622,222.0,18.7,394.63,2.94,33.4
4,4.0,0.06905,0.0,2.18,0.0,0.458,7.147,54.2,6.0622,222.0,18.7,396.9,5.33,36.2
5,5.0,0.02985,0.0,2.18,0.0,0.458,6.43,58.7,6.0622,222.0,18.7,394.12,5.21,28.7
6,6.0,0.08829,12.5,7.87,0.0,0.524,6.012,66.6,5.5605,311.0,15.2,395.6,12.43,22.9
7,7.0,0.14455,12.5,7.87,0.0,0.524,6.172,96.1,5.9505,311.0,15.2,396.9,19.15,27.1
8,8.0,0.21124,12.5,7.87,0.0,0.524,5.631,100.0,6.0821,311.0,15.2,386.63,29.93,16.5
9,9.0,0.17004,12.5,7.87,0.0,0.524,6.004,85.9,6.5921,311.0,15.2,386.71,17.1,18.9
10,10.0,0.22489,12.5,7.87,0.0,0.524,6.377,94.3,6.3467,311.0,15.2,392.52,20.45,15.0
11,11.0,0.11747,12.5,7.87,0.0,0.524,6.009,82.9,6.2267,311.0,15.2,396.9,13.27,18.9
12,12.0,0.09378,12.5,7.87,0.0,0.524,5.889,39.0,5.4509,311.0,15.2,390.5,15.71,21.7
13,13.0,0.62976,0.0,8.14,0.0,0.538,5.949,61.8,4.7075,307.0,21.0,396.9,8.26,20.4
14,14.0,0.63796,0.0,8.14,0.0,0.538,6.096,84.5,4.4619,307.0,21.0,380.02,10.26,18.2
15,15.0,0.62739,0.0,8.14,0.0,0.538,5.834,56.5,4.4986,307.0,21.0,395.62,8.47,19.9
16,16.0,1.05393,0.0,8.14,0.0,0.538,5.935,29.3,4.4986,307.0,21.0,386.85,6.58,23.1
17,17.0,0.7842,0.0,8.14,0.0,0.538,5.99,81.7,4.2579,307.0,21.0,386.75,14.67,17.5
